"id","SFirstName","SLastName","espnID","backgroundPicture","youtube1","youtube2","twitter","picture1","picture2"
"161","Kyle","Korver","2011","korver.jpg","WZwbp2nNFhY","Jcr6yuzgcts","https://twitter.com/kylekorver?lang=en",,
"162","Terrence","Ross","6619","terrence_ross.jpg","jTXDCyxULrA","UR_fO0j1QMo","https://twitter.com/TFlight31",,
"163","Raymond","Felton","2753","raymond-felton_437.jpg","OmUDx4efuAk","Enf4PBVoNyA","https://twitter.com/rfeltongbms?lang=en",,
"164","Marcus","Smart","2990992","smart-marcus.jpg","HwYYzm0r5Rs","CGGjhQx9Tfo","https://twitter.com/smart_ms3?lang=en",,
"165","Jeremy","Lamb","6603","Jeremy_Lamb.jpg","MuhxVaI0_XQ","ieWOXkXPzCc","https://twitter.com/jlamb",,
"166","Rudy","Gobert","3032976","rudy.gobert.jpg","GWVYRKUkH14","B750upT3Wms","https://twitter.com/rudygobert27",,
"167","Jerami","Grant","2991070","jeramigrant.jpg","B9hWdkGSQ3Q","Ez4r4HJ_TYs","https://twitter.com/jeramigrant?lang=en",,
"168","Jordan","Hill","3994","jordanhill.jpg","5jL0shritEo","xQN6LHiji7w","https://twitter.com/Timberwolves?lang=en",,
"169","Ian","Mahinmi","2774","mahinmi.jpg","AM5FD6kZO4M","QUC47XVcfIQ","https://twitter.com/ianmahinmi?lang=en",,
"170","Luis","Scola","1781","scola.jpg","-QzPpXzSRm8","Xbo4ER92K7k","https://twitter.com/lscola4?lang=en T",,
"171","Zaza","Pachulia","2016","zaza-pachulia-home-iso.jpg","jKyiceq2Jgs","3hF2XayfC8A","https://twitter.com/zaza27?lang=en",,
"172","Alex","Len","2596107","alexlen.jpg","3UIHxVcwXXo","UT2vjPQ6JsA","https://twitter.com/alexlen?lang=en",,
"173","Rodney","Stuckey","3235","stuckey.jpg","djobkb08n9I","Jr7BnsgAOyw","https://twitter.com/rodneystuckeyp3?lang=en",,
"174","Mason","Plumlee","2488653","masonplumlee.jpg","QK19EMOb1Ts","jBVhp00Jf_c","https://twitter.com/masonplumlee?lang=en",,
"175","Carl","Landry","3217","carllandry.jpg","EqPN3mdx9sw","FQODmUBpMhA","https://twitter.com/carllandry?lang=en",,
"176","Mo","Williams","2178","Mo_Williams_Cavs.jpg","PjSD7rJzoxc","7qkXsDEb3_0","https://twitter.com/mowilliams",,
"177","Aaron","Gordon","3064290","aarongordon_dribble.jpg","fgUbR6Q8V2I","xRg1cFAqtsI","https://twitter.com/Double0AG",,
"178","Patty","Mills","4004","pattymills.jpg","nn6YOgHwbYk","zr0-kOv680U","https://twitter.com/Patty_Mills",,
"179","Derrick","Williams","6480","derrickwilliams.jpg","oMhUCgQ_r2k","OaU74dhy14U","https://twitter.com/dwxxiii",,
"180","Archie","Goodwin","2991281","goodwin.jpg","GAzIGqzdVPo","H2MAf1F_Ttc","https://twitter.com/a1laflare10?lang=en",,
"181","Gerald","Green","2761","gerald green.jpg","_1Th0ASIr1Q","Ombp8wWCqTM","https://twitter.com/ggreenjr25?lang=en",,
"182","Cody","Zeller","2579258","cody-zeller.jpg","ZglWt6Ex3b4","rcqavYIvwWQ","https://twitter.com/CodyZeller",,
"183","Terrence","Jones","6597","terrencejones.jpg","Kmf4-W1JZ-4","dbLlZ_gMXvY","https://twitter.com/terrencejones1?lang=en",,
"184","Tyler","Johnson","2530276","tyler_johnson_heat_.jpg","0-TkyAQ1Wb8","EKYmU_YkT88","https://twitter.com/realtjohnson?lang=en",,
"185","Nene","Hilario","1713","nenehilario.jpg","5ffRN19gsSA","kjTnyK71QCg","https://twitter.com/nenehilario42?lang=en",,
"186","Taj","Gibson","3986","Taj-Gibson.jpg","I6OCqY_8AX4","1Hco8TdCBag","https://twitter.com/tajgibson22?lang=en",,
"187","Cory","Joseph","6446","coryjoseph.jpg","eO69vDjnTHc","bkpLa2EUk4U","https://twitter.com/cory_joe?lang=en",,
"188","Tim","Duncan","215","duncan.JPG","UZc3uq56JKU","WaaJKmboQiw","https://twitter.com/timslamduncan?lang=en",,
"189","Jon","Leuer","6452","jonleuer.jpg","1wwktksE-_w","EyLnzJn7-nU","https://twitter.com/jonleuer30?lang=en",,
"190","Gerald","Henderson","3993","geraldhenderson.jpg","m09mqqUMDHg","aNXDnu7rCn0","https://twitter.com/g_hender09?lang=en",,
"191","Stanley","Johnson","3134881","stanleyjohnson.jpg","0IsB1iYmM94","Xjvm19URVZI","https://twitter.com/StanleyPJohnson",,
"192","Austin","Rivers","6617","rivers-austin.jpg","wPQUUUf3WWA","UtnTbOzNLt0","https://twitter.com/austinrivers25?lang=en",,
"193","Tony","Wroten","6630","tonywroten.jpg","WS_e8ba7L8Y","KcyH-xlPnF8","https://twitter.com/TWroten_LOE",,
"194","Meyers","Leonard","6605","meyers.jpg","q0OzAaonkS4","64NjPXdxNDU","https://twitter.com/MeyersLeonard11",,
"195","David","Lee","2772","davidlee.jpg","XcZcdcZWpSI","OWLZHZiKY9o","https://twitter.com/dlee042",,
"196","Lance","Thomas","6485","lancethomas.jpg","392EMoXcUDM","99BRnebDatk","https://twitter.com/mrlance42?lang=en",,
